case,dataset,suite,system,system_name,root_cause_service,fault,fault_description,repetition,inject_time,n_metrics,n_timesteps,time_start,time_end,duration_minutes,normal_timesteps,faulty_timesteps,has_logs,n_logs,has_traces,n_traces,has_root_cause_file
re1ob_adservice_cpu_1,RE1-OB,RE1,ob,Online Boutique,adservice,cpu,CPU stress,1,1685202688,49,4201,1685200588,1685204788,70.0,2100,2101,False,0,False,0,False
re1ob_adservice_cpu_2,RE1-OB,RE1,ob,Online Boutique,adservice,cpu,CPU stress,2,1685206967,49,4201,1685204867,1685209067,70.0,2100,2101,False,0,False,0,False
re1ob_adservice_cpu_3,RE1-OB,RE1,ob,Online Boutique,adservice,cpu,CPU stress,3,1685211245,49,4201,1685209145,1685213345,70.0,2100,2101,False,0,False,0,False
re1ob_adservice_cpu_4,RE1-OB,RE1,ob,Online Boutique,adservice,cpu,CPU stress,4,1685229704,49,4201,1685227604,1685231804,70.0,2100,2101,False,0,False,0,False
re1ob_adservice_cpu_5,RE1-OB,RE1,ob,Online Boutique,adservice,cpu,CPU stress,5,1685220134,49,4201,1685218034,1685222234,70.0,2100,2101,False,0,False,0,False
re1ob_adservice_delay_1,RE1-OB,RE1,ob,Online Boutique,adservice,delay,network delay,1,1692583932,57,721,1692583572,1692584292,12.0,360,361,False,0,False,0,False
re1ob_adservice_delay_2,RE1-OB,RE1,ob,Online Boutique,adservice,delay,network delay,2,1692584700,57,721,1692584340,1692585060,12.0,360,361,False,0,False,0,False
re1ob_adservice_delay_3,RE1-OB,RE1,ob,Online Boutique,adservice,delay,network delay,3,1692585468,57,721,1692585108,1692585828,12.0,360,361,False,0,False,0,False
re1ob_adservice_delay_4,RE1-OB,RE1,ob,Online Boutique,adservice,delay,network delay,4,1692586236,57,721,1692585876,1692586596,12.0,360,361,False,0,False,0,False
re1ob_adservice_delay_5,RE1-OB,RE1,ob,Online Boutique,adservice,delay,network delay,5,1692612189,58,721,1692611829,1692612549,12.0,360,361,False,0,False,0,False
re1ob_adservice_disk_1,RE1-OB,RE1,ob,Online Boutique,adservice,disk,disk I/O stress,1,1702354817,56,721,1702354457,1702355177,12.0,360,361,False,0,False,0,False
